id	region	smearregion	country	eligm	eligf	participm	participf	nonparticipm	nonparticipf	partratio	bactym	bactyf	bactynegm	bactynegf	negbactyrank	smearm	smearf	smearnegm	smearnegf	smearrank	notm	notf	popm	popf	notnegm	notnegf	afr	amr	emr	sear	wpr	national	startyear	tbprev	hivprev	hivintb	lowrisk	symptomonly	smearonly	malepart	logmfpn	selogmfpn	varlogmfpn	bactym15	bactyf15	partm15	partf15	bactym25	bactyf25	partm25	partf25	bactym35	bactyf35	partm35	partf35	bactym45	bactyf45	partm45	partf45	bactym55	bactyf55	partm55	partf55
"Bangladesh, 2001 (a)"	1-SEAR	1-SEAR	Bangladesh			121031	115889				48	16	120983	115873	-2.87	48	16	120983		11	 3 640	 3 029	44 375 859	41 278 870	44 372 219	41 275 841	0	0	0	1	0	0	2001	1	0	0	0	1	0		0.115619137	0.284969693	0.081207726	4	6	31993	34430	5	3	31205	33180	7	2	25122	20089	13	1	15111	13177	19	4	17600	15013
"Gambia, 2011-2013"	3-AFR	3-AFR	Gambia	25679	30153	17504	25596	8175	4557	0.8	51	26	17453	25570	-2.87	24	10	17480	25586	25	944	432	 471 811	 497 694	 470 867	 497 262	1	0	0	0	0	1	2011	0	0	0	1	1	0	1	0.182563448	0.368725133	0.135958224																				
"Nepal, 2002"	1-SEAR	1-SEAR	Nepal	91	34	40	30	51	4	0.5	7	2	33	28	-2.63	9	2	31	28	12	 1 957	 1 295	6 985 703	7 449 699	6 983 746	7 448 404	0	0	0	1	0	0	2002	0	0	0	0	1	0	1	0.161814827	0.668528103	0.446929825	1	0	5	1	2	0	2	0	0	1	8	8	2	2	14	15	1	0	11	6
"Myanmar, 2009-2010"	1-SEAR	1-SEAR	Myanmar	26052	31555	22394	28973	3658	2582	0.94	206	105	22188	28868	-2.54	88	35	22306	28938	13	 3 338	 2 543	18 279 961	19 867 210	18 276 623	19 864 667	0	0	0	1	0	1	2009	1	0	0	1	0	0	0	0.182009905	0.198467326	0.039389279	8	3	5404	6495	32	20	4808	6416	50	26	4526	5936	48	18	3606	4674	68	38	4050	5452
"India, 2008-2010 (a)"	1-SEAR	1-SEAR	India	47714	43316	43517	42253	4197	1063	0.93	15	6	43502	42247	-2.43						 76 415	 51 240	424 593 509	401 761 848	424 517 094	401 710 608	0	0	0	1	0	0	2008	0	0	0	0	0	0	0																							
"Uganda, 2008-2009"	3-AFR	3-AFR	Uganda			1234	3868				17	22	1217	3846	-2.42						 1 847	 1 940	8 217 774	8 248 476	8 215 927	8 246 536	1	0	0	0	0	0	2008	0	1	1	1	1	1																								
"Bangladesh, 2009-2010"	1-SEAR	1-SEAR	Bangladesh			4190	5683				16	9	4174	5674	-2.41	16	9	4174	5674	14	 40 246	 22 033	51 861 301	50 455 709	51 821 055	50 433 676	0	0	0	1	0	0	2009	1	0	0	1	1	0		0.092397716	0.406761099	0.165454592	2	5	1599	2140	2	2	1134	1467	3	1	687	978	5	1	384	542	4	0	386	556
"Lao PDR, 2010-2011"	2-WPR	2-WPR	Lao PDR	21605	24458	17738	21474	3867	2984	0.94	157	80	17581	21394	-2.38	75	32	17663	21442	17	 1 944	 1 230	2 009 065	2 094 413	2 007 121	2 093 183	0	0	0	0	1	1	2010	1	0	0	1	0	0	0				6	8	4636	5243	12	10	3575	4916	26	11	3367	4199	32	12	2777	3394	81	39	3383	3722
"India, 2007-2008 (a)"	1-SEAR	1-SEAR	India	11574	11837	10831	11439	743	398	0.97	57	26	10774	11413	-2.32						 71 147	 48 996	412 834 000	390 225 969	412 762 853	390 176 973	0	0	0	1	0	0	2007	1	0	0	1	0	0	0																							
"India, 2007-2008 (b)"	1-SEAR	1-SEAR	India	5574	5894	5321	5795	253	99	0.97	113	53	5208	5742	-2.32						 71 147	 48 996	412 834 000	390 225 969	412 762 853	390 176 973	0	0	0	1	0	0	2007	1	0	0	0	0	1	0																							
"India, 2008-2009"	1-SEAR	1-SEAR	India	55145	50057	50623	47976	4522	2081	0.96	70	30	50553	47946	-2.21						 75 534	 50 887	420 676 184	397 926 759	420 600 650	397 875 872	0	0	0	1	0	0	2008	0	0	0	0	0	1	0																							
"Tanzania, 2011-2012"	3-AFR	3-AFR	Tanzania	28467	37181	20735	29701	7732	7480	0.91	90	59	20645	29642	-2.19	67	32	20668	29669	26	 15 651	 8 576	12 892 292	13 064 536	12 876 641	13 055 960	1	0	0	0	0	1	2011	0	1	1	1	0	1	0	0.209970681	0.213312327	0.045502149																				
"Ethiopia, 2011"	3-AFR	3-AFR	Ethiopia			5401	6774				19	11	5382	6763	-2.17						 7 400	 5 708	24 870 644	25 292 189	24 863 244	25 286 481	1	0	0	0	0	0	2011	0	0	0	0	1	0																								
"Nigeria, 2012"	3-AFR	3-AFR	Nigeria	36176	41621	18178	26008	17998	15613	0.8	86	58	18092	25950	-2.12	66	41	18112	25967	27	 4 549	 4 198	47 681 960	46 490 372	47 677 411	46 486 174	1	0	0	0	0	1	2012	1	0	1	1	0		1	0.169475863	0.197586736	0.039040518	8	11	5607	6747	19	16	4182	6802	17	13	2828	4685	20	9	2273	3434	22	9	3288	4340
"Uganda, 2005"	3-AFR	3-AFR	Uganda			305	625				16	17	289	608	-1.93	16	17	289	608	28	 1 803	 1 803	7 245 580	7 302 887	7 243 777	7 301 084	1	0	0	0	0	0	2005	1	1	1	0	1	0		0.125262731	0.335961648	0.112870229																				
"Indonesia, 2004"	1-SEAR	1-SEAR	Indonesia			24287	25867				51	29	24236	25838	-1.87	51	29	24236	25838	15	 9 570	 8 734	77 053 632	77 800 109	77 044 062	77 791 375	0	0	0	1	0	1	2004	1	0	0	1	1	0		0.124497731	0.230729164	0.053235947																				
"South Africa, 2008"	3-AFR	3-AFR	South Africa	745	633	648	602	97	31	0.91	6	3	642	599	-1.86	2	0	646	602	29	 72 716	 61 864	16 011 180	17 331 239	15 938 464	17 269 375	1	0	0	0	0	0	2008	0	1	1	0	0	0	0				1	3	252	220	1	0	268	250	2	0	89	93	1	0	22	26	1	0	17	13
"Zimbabwe, 2008"	3-AFR	3-AFR	Zimbabwe	5354	8041	4127	7218	1227	823	0.86	23	22	4104	7196	-1.83	12	13	4115	7205	30	 5 082	 4 476	3 636 516	3 832 955	3 631 434	3 828 479	1	0	0	0	0	0	2008	0	1	1	1	0	0	1	0.130027502	0.392037275	0.153693225	2	5	1313	2375	8	7	1342	2540	9	7	718	1182	2	3	333	631	2	0	421	490
"Pakistan, 2002"	4-EMR		Pakistan			2552	2927				11	7	2541	2920	-1.8						 1 191	 1 007	46 127 525	43 387 692	46 126 334	43 386 685	0	0	1	0	0	0	2002	1	0	0	0	1	0																								
"Zambia, 2010"	3-AFR	3-AFR	Zambia			11638	22808				92	100	11546	22708	-1.8						 1 057	 1 051	3 495 027	3 521 596	3 493 970	3 520 545	1	0	0	0	0	0	2010	1	1	1	1	0	0					14	31	4324	7845	45	37	3034	7095	20	22	1843	3353	4	8	985	2169	9	2	1418	1979
"Cambodia, 2010-2011"	2-WPR	2-WPR	Cambodia	18718	21705	17007	20410	1711	1295	0.97	188	126	16819	20284	-1.79	62	41	16945	20369	18	748	777	4 712 805	5 189 329	4 712 057	5 188 552	0	0	0	0	1	1	2010	1	0	0	1	0	1	0	0.14890124	0.199971475	0.039988591	10	2	5252	5316	19	11	4225	4810	23	14	2683	3329	21	16	2402	3125	53	42	2445	3830
"Zambia, 2013-2014"	3-AFR	3-AFR	Zambia	24038	30996	16973	23216	7065	7780	0.94	141	113	16832	23103	-1.71	76	51	16897	23165	31							1	0	0	0	0	1	2013	1	1	1	1	0	0	0																							
"South Africa, 2005 (a)"	3-AFR	3-AFR	South Africa			2459	3803				75	71	2384	3732	-1.63						 11 030	 14 166	15 755 590	16 996 750	15 744 560	16 982 584	1	0	0	0	0	0	2005	1	1	1	1	0	0																								
"Cambodia, 2002"	2-WPR	2-WPR	Cambodia			7883	9758				151	116	7732	9642	-1.61	55	23	7828	9735	19	600	455	3 662 341	4 120 778	3 661 741	4 120 323	0	0	0	0	1	1	2002	1	0	0	1	0	0		0.371818535	0.245645831	0.060341874	14	5	2998	3057	21	13	1619	2026	24	24	1377	1824	28	18	876	1323	64	56	1013	1528
"Eritrea, 2005"	3-AFR	3-AFR	Eritrea	6794	12403	6786	12399	8	4	1	7	8	6779	12391	-1.6	7	8	6779	12391	32	67	95	1 335 844	1 405 788	1 335 777	1 405 693	1	0	0	0	0	1	2005	0	0	0	1	0	1	0	0.204957613	0.500751813	0.250752378																				
"Brazil, 2003"	5-AMR	5-AMR	Brazil	248	238	52	54	196	184	0.92	3	2	49	52	-1.56						 4 695	 3 715	63 530 320	66 732 116	63 525 625	66 728 401	0	1	0	0	0	0	2003	0	0	0	0	0	0	0				2	2	11	13	0	0	2	6	0	0	12	15	1	0	6	5	0	0	10	9
"Kenya, 2006-2007"	3-AFR	3-AFR	Kenya	8532	14123	7655	13055	877	1068	0.97	58	65	7597	12990	-1.52	23	28	7632	13027	33	 4 749	 5 049	10 600 276	10 760 591	10 595 527	10 755 542	1	0	0	0	0	0	2006	1	1	1	0	0	0	0	-0.00446258	0.278269075	0.077433678	5	14	2810	3752	13	17	1240	2426	12	12	881	1932	11	7	820	1844	17	15	1844	3017
"South Africa, 2010"	3-AFR	3-AFR	South Africa			11297	18720				333	369	10964	18351	-1.5						 8 609	 14 361	17 053 054	18 647 887	17 044 445	18 633 526	1	0	0	0	0	0	2010	1	1	1	1	0	0					64	105	3379	5440	85	112	3438	5729	89	52	2168	3409	55	52	1243	2237	39	48	1061	1894
"Pakistan, 2010-2011"	4-EMR		Pakistan	61226	68218	44786	61067	16440	7151	0.82	163	151	44623	60916	-1.47						 11 475	 14 108	57 805 744	55 444 685	57 794 269	55 430 577	0	0	1	0	0	1	2010	1	0	0	1	0	0	1																							
"Viet Nam, 2003"	2-WPR	2-WPR	Viet Nam			34809	34135				9	6	34800	34129	-1.47	9	6	34800	34129	20	 3 250	 1 571	27 696 726	29 532 313	27 693 476	29 530 742	0	0	0	0	1	0	2003	1	0	0	1	1	0		-0.256234446	0.508970813	0.259051288																				
"Ethiopia, 2010-2011"	3-AFR	3-AFR	Ethiopia	24623	27044	21819	24878	2804	2166	0.96	26	21	21793	24857	-1.41	56	54	21763	24824	34	 7 308	 5 632	24 430 426	24 851 112	24 423 118	24 845 480	1	0	0	0	0	1	2010	0	0	0	1	0	0	0	-0.047009204	0.189635733	0.035961711																				
"Guinea-Bissau, 2006-2007 (b)"	3-AFR	3-AFR	Guinea-Bissau			241	330				0	0	241	330	-1.37	0	0	241	330	36	101	80	 416 914	 426 115	 416 813	 426 035	1	0	0	0	0	0	2006	1	0	1	0	1	1																								
"Zimbabwe, 2006"	3-AFR	3-AFR	Zimbabwe	6142	6284	4022	6213	2120	71	0.66	31	35	3991	6178	-1.37	23	17	3999	6196	35	 6 509	 5 757	3 638 223	3 805 661	3 631 714	3 799 904	1	0	0	0	0	0	2006	0	1	1	1	0	0	1	0.247279375	0.315097546	0.099286463	8	7	1627	2546	15	18	1344	2002	5	9	442	713	2	1	273	520	1	0	315	395
"Guinea-Bissau, 2006-2007 (a)"	3-AFR	3-AFR	Guinea-Bissau			1315	1674				0	0	1315	1674	-1.27	0	2	1315	1672	37	101	80	 416 914	 426 115	 416 813	 426 035	1	0	0	0	0	0	2006	1	0	1	0	1	1																								
"China, 2010 (b)"	2-WPR	2-WPR	China			25406	28873				10	9	25396	28864	-1.26	5	6	25401	28867	21	 44 757	 29 195	562 213 992	532 796 364	562 169 235	532 767 169	0	0	0	0	1	0	2010	0	0	0	1	1	1		-0.399731432	0.579301597	0.33559034																				
"Viet Nam, 2004-2005"	2-WPR	2-WPR	Viet Nam			4340	6478				10	12	4330	6466	-1.24	7	12	4333	6466	22	 3 481	 1 700	28 741 330	30 602 383	28 737 849	30 600 683	0	0	0	0	1	0	2004	0	0	0	0	0	1		-0.510186676	0.461463487	0.21294855																				
"Zambia, 2005"	3-AFR	3-AFR	Zambia			3709	4334				39	40	3670	4294	-1.14						 1 498	 1 811	3 042 967	3 067 776	3 041 469	3 065 965	1	0	0	0	0	0	2005	1	1	1	1	0	0																								
"Ethiopia, 2003"	3-AFR	3-AFR	Ethiopia			434	438				6	7	428	431	-0.87	6	7	428	431	38	 6 764	 5 607	19 071 586	19 457 063	19 064 822	19 451 456	1	0	0	0	0	0	2003	1	0	1	0	1	1		-0.174324974	0.531594051	0.282592235																				
"Viet Nam, 2000"	2-WPR	2-WPR	Viet Nam	79049	86665	16737	19095	62312	67570	0.96	10	15	16727	19080	-0.76	10	15	16727	19080	23	 2 254	 1 361	25 679 041	27 436 803	25 676 787	27 435 442	0	0	0	0	1	0	2000	1	0	0	0	1	0	0	-0.483316261	0.399552383	0.159642107	0	0	5371	5458	0	2	3610	3839	2	2	3467	3747	2	4	1689	1925	6	7	2600	4126
"Ethiopia, 2009"	3-AFR	3-AFR	Ethiopia			13720	13877				7	10	13713	13867	-0.71						 6 512	 5 490	23 159 771	23 576 800	23 153 259	23 571 310	1	0	0	0	0	0	2009	0	0	0	1	1	0																								
"Ecuador, 2001"	5-AMR	5-AMR	Ecuador			164	171				15	23	149	148	-0.68	15	23	149	148	40	 2 343	 2 020	4 187 037	4 227 169	4 184 694	4 225 149	0	1	0	0	0	0	2001	0	0	0	0	1	1		-0.236048046	0.308421475	0.095123806																				
"South Africa, 2005 (b)"	3-AFR	3-AFR	South Africa	478	480	340	422	138	58	0.81	4	8	336	414	-0.62	2	1	338	421	39	 11 030	 14 166	15 755 590	16 996 750	15 744 560	16 982 584	1	0	0	0	0	0	2005	1	1	1	0	0	1	1	0.280156948	1.030221249	1.061355822	1	3	110	161	2	3	138	161	1	2	55	58	0	0	23	22	0	0	14	20
